localizacao,tipo,titulo,descricao_detalhada,video,imagens,links,audio,user_id,id
"-23.9793965, -46.2993718",educação,UME Doutor Porchat Assis,"A UME Doutor Porchat Assis, localizada na Ponta da Praia, em Santos, é uma escola municipal que desempenha um papel essencial na formação educacional de crianças e adolescentes da região. 

Além do currículo regular, a UME Doutor Porchat Assis é reconhecida por ter iniciativas comunitárias, como projetos que incentivam a leitura, atividades esportivas e ações culturais que envolvem tanto os estudantes quanto suas famílias. Essas ações reforçam a importância da educação como ferramenta de transformação social.

A escola também enfrenta desafios que refletem as contradições presentes na sociedade brasileira, como a necessidade de ampliação de recursos e investimentos na educação pública. Contudo, a resistência e o empenho de professores, funcionários e da comunidade escolar têm sido fundamentais para superar essas dificuldades e garantir um ensino de qualidade.",,/cartografiasocial/fotos/porchat.png,,,,24
"-23.98033, -46.3132581",lazer,Fonte do Sapo,"Inaugurada em 10 de julho de 1943, a Fonte do Sapo era chamada de Lagoa do Sapo. As esculturas da Fonte foram criadas pelos alunos de diversos cursos de Artes e Ofícios do Instituto Dona Escolástica Rosa, sob a orientação do mestre escultor Domingos Saviolli. Nos anos 50, o local sofreu sua primeira reforma, para ganhar mais beleza e vida, e ganhou figuras de sapos menores, com instrumentos musicais, ao redor de um grande sapo no centro.",,,,,,25
"-23.9780518, -46.3000682",educação,UMEE Profa. Maria Carmelita Proost Vilaça,"A UME Professora Maria Carmelita Proost Villaça é um colégio localizado na Ponta da Praia, em Santos, que atende crianças e adolescentes com deficiências. A escola é uma das mais antigas instituições de educação especial da cidade e foi fundada em 1960. Seu propósito é proporcionar inclusão e aprendizado para alunos com necessidades especiais. Nesse sentido, a escola dispõe de atendimento educacional especializado, possui salas de recursos multifuncionais e profissionais capacitados para atender a necessidades específicas. A estrutura do colégio também é adequada à acessibilidade com banheiros, inclusive para pessoas com deficiência. A escola recebeu apoio da Secretaria de Educação de Santos, em 2019, que iniciou estudos para torná-la uma UME de ensino integral, capacidade para 400 alunos. O projeto foi desenhado para juntar alunos com e sem deficiências em um ambiente educacional inclusivo. No entanto, essa iniciativa gerou preocupações entre os pais e a comunidade escolar, que temiam a redução do atendimento especializado para alunos com deficiência. A comunidade escolar, incluindo pais e educadores, tem se mobilizado para garantir que a UME Carmelita continue a oferecer um atendimento especializado de qualidade para alunos com deficiência. Movimentos como 'Somos Todos Carmelita' têm sido fundamentais na defesa da manutenção e aprimoramento dos serviços prestados pela escola.

**Endereço:** Av. Prof. Aristóteles Menezes, 11 - Ponta da Praia, Santos - SP.

- **Telefone:** 01332369997.",,"/cartografiasocial/fotos/carmelita.png, /cartografiasocial/fotos/carmelita2.png",Santos SP - UME Carmelita: https://www.santos.sp.gov.br/?q=local%2Fume-professora-maria-carmelita-proost-villaca; Santos SP - Projeto de ensino integral: https://g1.globo.com/sp/santos-regiao/noticia/2019/03/26/seduc-estuda-periodo-integral-para-400-criancas-em-escola-de-ensino-especial-de-santos-sp.ghtml; Mães se reúnem para evitar o fim de escola especial para crianças com deficiência: https://g1.globo.com/sp/santos-regiao/noticia/2019/06/04/maes-se-reunem-para-evitar-o-fim-de-escola-especial-para-criancas-com-deficiencia.ghtml,,,26
"-23.9808059, -46.3118476",educação,E. E. Antônio Ablas Filho Dr,"É uma escola pública estadual . Nessa instituição de ensino de educação básica há o funcionamento apenas da etapa de formação do Ensino Médio.
telefone:  (13) 3231-1735",,,,,,27
"-23.9529676, -46.3403866",educação,UME Professora Emília Maria Reis,"Escola municipal em Santos, SP, oferecendo ensino infantil e fundamental.",,,Localização no Google Maps: https://maps.app.goo.gl/JRoFW7tCuDcH9dkB8,,,28
"-23.9535718, -46.3412044",lazer,Praça Olímpio de Lima,"Praça pública localizada em Santos, SP, ideal para passeios, atividades ao ar livre e momentos de lazer.",,,Localização no Google Maps: https://maps.app.goo.gl/5HGdUyVBp6faEiKU8?g_st=ac,,,29
"-23.9792099, -46.3104148",educação,CEEJA Maria Aparecida Pasqualeto Figueiredo,"Centro Estadual de Educação de Jovens e Adultos (CEEJA) localizado na Av. Dr. Epitácio Pessoa, 432 - Aparecida, Santos - SP, 11030-600. Oferece oportunidades de ensino para jovens e adultos. Horário de funcionamento: Aberto até às 22:00.",,,"Site oficial: http://ceejamar.com.br, Localização no Google Maps:  https://www.google.com/maps/place/CEEJA+MARIA+APARECIDA+PASQUALETO+FIGUEIREDO/@-23.9808059,-46.3143102,25m/data=!3m1!1e3!4m10!1m3!11m2!2s-1-j9UfOTqu3-JRdLa1M-g!3e3!3m5!1s0x94ce02454a3ec351:0xac4b9164cfac4aa4!8m2!3d-23.9794762!4d-46.3143102!16s%2Fg%2F1q67djm_y?entry=ttu&g_ep=EgoyMDI1MDIwOS4wIKXMDSoASAFQAw%3D%3D",,,30
"-23.981796, -46.3070677",educação,Escola Verde - Canal 6,"Uma escola que desenvolve habilidades socioemocionais, com ensino bilíngue e desenvolvimento integral do estudante, tendo educação Infantil até o ensino médio. Telefone: (13) 3273-1160 ",,,https://escolaverde.com.br/,,,31
"-23.9717463, -46.3071106",educação,"Colégio Renovação Santos Escola Particular, Bilíngue e Integral"," Escola particular com sistema bilíngue. Telefone:  (13) 99795-0772",,,,,,32
"-23.9796224, -46.3077376",educação,Escola Santista de Mandarim,"Curso presencial ou online de mandarim e coreano. Telefone: : (13) 99757-7300
Instagram: @ escolasantistademandarim",,,,,,33
"-23.9796224, -46.3077376",educação,Escola XIII de Julho,"Escola XIII de Julho: Escola particular do ensino fundamental ao ensino médio. Telefone: (13) 3231-2709",,,,,,34
"-23.9751803, -46.3072396",educação,"UME ""Dos Andradas l"" - Berçário, Maternal, Jardim e Pré","As UME “Dos Andradas” I e II, é um complexo escolar da década de 70 que faz parte do primeiro Complexo Educacional com Gestão Compartilhada no Estado de São Paulo, que atende a crianças desde a Educação Infantil (de zero a cinco anos), passando pelo Ensino Fundamental até chegar ao Ensino Médio.",,,,,,35
"-23.9796224, -46.3077376",educação,"UME ""Dos Andradas II"" - 1° ao 5° ano","O nome da escola faz alusão aos irmãos Andradas, José Bonifácio de Andrada e Silva, Patrício Manoel de Andrada e Silva, Antonio Carlos Ribeiro de Andrada Machado e Silva e Martim Francisco Ribeiro de Andrada. Telefone: (13) 3271-6707   Email: andradas-seduc@santos.sp.gov.br",,,https://www.santos.sp.gov.br/?q=local/ume-dos-andradas#serva,,,36
"-23.9796224, -46.3077376",educação,Escola Estadual Olga Cury,"Olga Cury é uma escola pública estadual . Nessa instituição de ensino de educação básica há o funcionamento das etapas de formação de Ensino Fundamental, Ensino Médio e EJA - Educação para Jovens e Adultos. Telefone: (13) 32380172
Email: E046164A@EDUCACAO.SP.GOV.BR",,"""https://drive.google.com/file/d/1QZYWCV6FxITTAuMHzqb1GoPEFyj102k6/view?usp=sharing"" ""https://drive.google.com/file/d/1Q_FojeK1s_UL_Y-S1E0OGAbPiL_N8vTO/view?usp=drive_link""",https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=46164,,,37
"-23.9796224, -46.3077376",educação,Colégio Jean Piaget - Ensino Fundamental I," Escola particular. Telefone:  (13) 3272-1003 
",,,https://www.jeanpiaget.g12.br/,,,38
"-23.9794312, -46.3053322",educação,Escola Municipal Lourdes Ortiz,É uma escola municipal e uma das mais antigas da cidade com 96 anos. atende o ensino fundamental I e II. Email: lourdesortiz-seduc@santos.sp.gov.br Telefone: (13) 3236-9989,,,https://www.santos.sp.gov.br/?q=local/ume-lourdes-ortiz,,,39
"-23.9511276, -46.3392225",lazer,Estádio Urbano Caldeira - Vila Belmiro,"
  Este espaço muito conhecido teve sua inauguração em 12 de outubro de 1916, ainda quando a Vila Belmiro que conhecemos hoje se chamava Vila Operária. Sobre esses nomes, o próprio estádio em sua formação era chamado de outra forma: **Campo do Santos** (ou também **Praça de Esportes do Santos**). Somente em 1933, após o falecimento de Urbano Caldeira, o campo passou a se chamar oficialmente **Estádio Urbano Caldeira**.

  Mas o time, como já se sabe, é anterior a esse período, então a questão é: **Como faziam para treinar?** Os treinamentos aconteciam em um antigo campo de treinamento (que hoje é o **Centro de Treinamento Rei Pelé**), localizado no bairro Macuco, perto da Santa Casa de Saúde. Esse campo ainda existe, mas, na época, não oferecia acomodações necessárias para o time.",,"/cartografiasocial/fotos/vila.jpeg, /cartografiasocial/fotos/vila2.jpeg",,,,40
"-23.9723761, -46.3043035",historico,Mochilando Afroculturas,"É uma empresa que oferece roteiros sobre Afroturismo, que tem como objetivo apresentar um percurso, pensado e elaborado para visibilizar e valorizar as histórias de personalidades negras, assim como fatos e lugares de grande relevância histórica desde o período da escravização assim como   fatos e personagens que se relacionam à história da contribuição da população negra para a construção da Santos atual.
Telefone:  (13) 97805-7000
Instagram: @ mochilandoafroculturas",,,,,,41
"-23.98127, -46.31288",bairro,Aparecida,"Considerado um dos bairros mais populosos da Cidade, com cerca de 50 mil habitantes, a Aparecida é delimitada por cinco grandes avenidas – Bartolomeu de Gusmão, Almirante Cochrane, Afonso Pena, Joaquim Montenegro e Pedro Lessa. Muitas são as referências locais como a Fonte do Sapo, a Paróquia Nossa Senhora Aparecida, que inspirou o nome do bairro, a Praça de Cães (Praça Caio Ribeiro de Moraes Silva), a FeirArte, o Sesc e o Praiamar Shopping.

  Quem ali reside ainda conta com equipamentos na área da saúde como a UPA Zona Leste, a Policlínica Aparecida e o Ambulatório Médico de Especialidades (AME), ligado ao Governo do Estado, além das unidades municipais de educação Lourdes Ortiz e dos Andradas, e as estaduais Escolástica Rosa e Aristóteles Ferreira e a CEEJA Maria Aparecida Pasqualeto Figueiredo.

  O bairro cresceu muito e possui uma das estruturas mais modernas da Cidade. Muita coisa mudou, ficou mais valorizado com a instalação de grandes empreendimentos que geraram emprego, mas ainda preserva chalés com moradores antigos.

 A criação do bairro ocorreu a partir do Plano Diretor do Município de 1968, explica o historiador da Fundação Arquivo e Memória de Santos (Fams), José Dionísio de Almeida. ""De 1867 até início do século 20, a população ainda se concentra no espaço urbano que chamamos de Centro Histórico até o Paquetá. Em seguida, gradativamente vai se formando o Macuco, que se efetiva a partir de 1915. Com o desmembramento desse bairro, cria-se a Aparecida, que leva o nome da igreja existente desde a década de 1930 para a de 1940"".",,"https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/nkumkd7sjva.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/4knve6duj6n.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/uc6azyrd81q.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/7o7hoitnhns.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/57gzykev5i.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/v15bng6tjbj.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/c51xllt7x7q.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/v6s6fupie5s.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/sqbbg8ec45o.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/m2b2qug9u3.jpeg,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/g2csxca963t.jpeg",https://jornaldaorla.com.br/noticias/48464-bairro-aparecida-em-santos-completa-53-anos/,,,42
"-23.9405995, -46.3348842",educação,UME Paulo Gomes Barbosa,"A escola atende Berçário, Maternal, Jardim, Pré e Fundamental I, é referência de ensino no bairro do Jabaquara e atende a comunidade do bairro e regiões próximas. Localizada na Av. Dr. Waldemar Leão, 184 - Jabaquara, Santos - SP, 11013-601, atende de segunda à sexta-feira, das 8:30 às 17:30.",,,,,,43
"-23.9419539, -46.3403259",educação,CEREX - Eduardo Ballerini Escola Especial,"A Escola Especial Eduardo Ballerini realiza atendimento contínuo e gratuito para crianças, jovens e adultos com deficiência, através de atendimentos especializados a fim de desenvolver potencialidades biopsicossociais e de promover autonomia e inserção social.",,,Site da Escola: http://www.cerexballerini.com.br/,,,44
"-23.9825696, -46.2948165",comunidades,Vila Sapo,"A **Vila Sapo** é uma comunidade localizada na Ponta da Praia, em Santos, formada na década de 1960.

 Desde sua formação, os moradores da Vila Sapo enfrentam desafios relacionados à moradia adequada e à regularização fundiária. A história da Vila Sapo reflete a dinâmica da segregação socioespacial e da resistência comunitária, questões centrais da urbanização na cidade de Santos. Apesar das adversidades, a comunidade demonstra resistência e organização na busca por justiça e direito à cidade. Em 2011 foi fundada a Associação Habitacional Vila Sapo, que tem sido fundamental na defesa dos direitos dos moradores.

",https://www.youtube.com/embed/i3nnF5DvzWk?si=i5rNU44mgtW731Hz,,,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/audios/audio_ernxd9g8b9.wav,,45
"-23.9841029, -46.307967",comunidades,Trabulsi,"A Rua Bassin Nagib Trabulsi, situada na Ponta da Praia, é um espaço de intensa circulação e convivência. Composta por uma mistura de comércios e prédios residenciais, essa via desempenha um papel importante para a reprodução social da população dessa região, é uma rua de trabalhadores. Entre mercados, adega, lojinhas de variedades e estabelecimentos de serviços, a rua se destaca por um movimento imparável. De dia, é frequentada por quem busca as coisas do cotidiano, à noite se transforma em um ponto de encontro de diferentes grupos.Na sexta-feira os bares começam a ganhar mais vida, a rua vira um ponto de encontro de características pitorescas. Ainda há pessoas que descem dos prédios com cadeira de praia e sentam na calçada, principalmente nos dias e noites de calor e a movimentação vai até a madrugada. É criança chorando, cachorro latindo, bêbado gritando e, no domingo, tem o tradicional bingo valendo um frango na lanchonete “Wu Jian”, popularmente chamada como ""lanchonete da Chinesa"". E nos fins de ano e carnavais a “Banda da Trabulsi” toca o maior terror. Assim como muitos outros lugares do Brasil, a vida acontece marcada por contradições e desigualdades sociais, nessa rua há uma presença significativa da parcela mais pauperizada da população, que usa o espaço da rua como estratégia de sobrevivência. Crianças e jovens vendem balas na porta do mercado. A rua conserva muitos prédios de apartamentos pequenos, habitados principalmente por moradores idosos que compraram seus apartamentos bem antes de a Ponta da Praia se tornar uma área tão cara, devido à especulação imobiliária. Essa realidade, desafia os processos de gentrificação intensificados na região e o senso comum de que a Ponta da Praia é um bairro da classe alta. A Trabulsi, portanto, carrega as marcas da história da Ponta da Praia, de Santos e de seus moradores, resistindo às transformações urbanas e “financeirismos” enquanto mantém vivo seu modo próprio de ser, e infelizmente, seus problemas.",,"/cartografiasocial/fotos/trabulsi.png, /cartografiasocial/fotos/trabulsi2.png",Banda da Trabulsi: https://www.instagram.com/bandadatrabulsi/; Primeira fase da revitalização da Rua Trabulsi em Santos termina: https://www.diariodolitoral.com.br/santos/primeira-fase-da-revitalizacao-da-rua-trabulsi-em-santos-termina/171615/,/cartografiasocial/audio/trabulsi.mp3,,46
"-23.9833479, -46.3826972",comunidades,Terra Indígena Paranapuã,"A Terra Indígena Paranapuã, localizada em São Vicente, é uma das dezenas de comunidades do povo Guarani Mbya no estado de São Paulo e uma das centenas no cone sul do continente americano. O nome ""Paranapuã"" significa ""lugar do mar redondo"" ou ""enseada"", refletindo a conexão da aldeia com o ambiente natural e seus múltiplos seres, especialmente o oceano.  A Aldeia Paranapuã promove atividades educativas e culturais, abrindo suas portas para visitantes interessados em aprender mais sobre a história e o modo de vida. 

No entanto, a aldeia enfrenta sérias dificuldades devido à falta de reconhecimento territorial pelo Estado brasileiro. Sobreposta ao Parque Estadual Xixová-Japuí, a aldeia não tem seus direitos específicos sobre o uso da terra garantidos pelo Estado, o que prejudica atividades como a agricultura de subsistência. A regulamentação ambiental do parque proíbe até mesmo a criação de hortas, essenciais para a comunidade. As pessoas da aldeia participam de manifestações políticas defendendo o direito ao território e ao seu modo de viver, contando com aliados de outras aldeias e povos.",,,,,,47
"-23.9441974861698, -46.3328427330173",lazer,Teatro Patrícia Galvão,"
        O Teatro Patrícia Galvão é um dos principais espaços culturais de Santos, conhecido por sua arquitetura e por abrigar diversas produções teatrais e eventos culturais ao longo do ano. O teatro leva o nome de Pagu, uma importante feminista, militante de esquerda e artista de Santos.
      ",https://www.youtube.com/embed/KvPW7w3DXUE?si=rqqRxqWtjzsyTZ5-,,,,,48
"-23.9810589, -46.3003071",lazer,Complexo esportivo e recreativo Rebouças,"
    O Rebouças oferece atividades esportivas e recreativas para varias as idades. Tem três quadras cobertas, três piscinas (recreativa, biribol e olímpica), academia, pista de cooper, ginásio com arquibancada e salas especializadas para esportes e artes marciais.
    As modalidades oferecidas incluem musculação, natação, hidroginástica, futsal, voleibol, basquete, dança, pilates, artes marciais, entre outras.
    No local também funciona a Secretaria Municipal de Esportes.
  ",,/cartografiasocial/fotos/rebouças.jpg,Complexo Esportivo e Recreativo Rebouças - Prefeitura: https://www.santos.sp.gov.br/?q=portal/centro-esportivo-e-recreativo-reboucas,,,49
